Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,1,12.0277,0.218582,1631,4,4.38089,0.00705104,874
,,,,,,,,,,,,,1,7.47538,0.0282041,962,4,3.26617,0.662797,1607
,,,,,,,,,,,,,1,9.47334,0.0282041,1001,4,2.1752,0.148072,1170
,,,,,,,,,,,,,1,11.0972,0.0423062,1192,4,1.64238,0.317297,1680
,,,,,,,,,,,,,1,5.57848,0.0141021,985,4,3.64992,1.01535,1915
,,,,,,,,,,,,,1,5.12819,0.0352552,1240,4,2.35766,0.0352552,1108
,,,,,,,,,,,,,1,2.16768,0.00705104,1046,4,1.35977,0.0282041,1059
,,,,,,,,,,,,,1,7.50433,0.119868,1664,4,4.53111,0.126919,1300
,,,,,,,,,,,,,1,4.60602,0.0493572,996,4,3.03314,1.31854,1768
,,,,,,,,,,,,,1,2.07014,0.0282041,1065,4,1.24681,0.514726,1396
,,,,,,,,,,,,,1,8.48798,0.0423062,1029,4,0.848877,0.0141021,1044
,,,,,,,,,,,,,1,4.18027,0.126919,1194,4,2.00373,0.119868,1143
,,,,,,,,,,,,,1,5.30698,0.0211531,1076,4,3.15817,0.310246,1300
,,,,,,,,,,,,,1,6.40375,0.13397,1179,4,2.84008,0.00705104,860
,,,,,,,,,,,,,1,8.48471,0.0352552,1066,4,2.97505,0.00705104,904
,,,,,,,,,,,,,1,12.5892,0.0352552,1225,4,5.65744,0.162174,1261
,,,,,,,,,,,,,1,7.66882,0.00705104,1060,4,2.06653,0.401909,1447
,,,,,,,,,,,,,1,4.37785,0.0987145,1158,4,4.08256,2.94733,2202
,,,,,,,,,,,,,1,15.1612,0.0705104,1145,4,5.55188,0.00705104,1019
,,,,,,,,,,,,,1,12.8913,0.0141021,1304,,,,
,,,,,,,,,,,,,1,7.36932,0.0211531,1191,,,,
,,,,,,,,,,,,,1,11.0659,0.0916635,1432,,,,
,,,,,,,,,,,,,1,7.81761,0.00705104,896,,,,
,,,,,,,,,,,,,1,7.56472,0.0423062,1051,,,,
,,,,,,,,,,,,,1,8.07824,0.112817,1377,,,,
,,,,,,,,,,,,,1,6.96376,0.0282041,1045,,,,
,,,,,,,,,,,,,1,12.4096,0.0493572,1085,,,,
,,,,,,,,,,,,,1,7.57826,0.0705104,1204,,,,
,,,,,,,,,,,,,1,12.0162,0.00705104,1025,,,,
,,,,,,,,,,,,,1,12.151,0.00705104,890,,,,
,,,,,,,,,,,,,1,9.22603,0.0141021,998,,,,
,,,,,,,,,,,,,1,10.5276,0.0352552,1089,,,,
,,,,,,,,,,,,,2,15.9639,0.0141021,1143,,,,
,,,,,,,,,,,,,2,13.7097,0.176276,1207,,,,
,,,,,,,,,,,,,2,14.2348,0.0352552,1082,,,,
,,,,,,,,,,,,,2,11.5812,0.0564083,1353,,,,
,,,,,,,,,,,,,2,12.9438,0.0634593,1072,,,,
,,,,,,,,,,,,,2,3.32034,0.40896,1708,,,,
,,,,,,,,,,,,,2,3.76946,0.0141021,1015,,,,
,,,,,,,,,,,,,2,11.4868,0.218582,2215,,,,
,,,,,,,,,,,,,2,5.71223,0.141021,1197,,,,
,,,,,,,,,,,,,2,5.92034,0.324348,1627,,,,
,,,,,,,,,,,,,2,4.33699,0.0211531,1060,,,,
,,,,,,,,,,,,,2,4.46849,0.00705104,1079,,,,
,,,,,,,,,,,,,2,7.24242,0.00705104,1053,,,,
,,,,,,,,,,,,,2,12.1972,0.0564083,1478,,,,
,,,,,,,,,,,,,2,6.3117,0.176276,1414,,,,
,,,,,,,,,,,,,2,14.0644,0.401909,1401,,,,
,,,,,,,,,,,,,2,11.5416,0.00705104,860,,,,
,,,,,,,,,,,,,2,10.7842,0.112817,1261,,,,
,,,,,,,,,,,,,2,3.87314,0.0282041,1002,,,,
,,,,,,,,,,,,,2,6.8338,0.0705104,1212,,,,
,,,,,,,,,,,,,2,6.03392,0.0352552,1151,,,,
,,,,,,,,,,,,,2,4.58724,0.00705104,1128,,,,
,,,,,,,,,,,,,2,4.54493,0.00705104,1193,,,,
,,,,,,,,,,,,,2,2.20938,0.00705104,1038,,,,
,,,,,,,,,,,,,2,2.90317,0.0141021,998,,,,
,,,,,,,,,,,,,2,2.90215,0.0141021,1078,,,,
,,,,,,,,,,,,,2,2.06086,0.218582,1212,,,,
,,,,,,,,,,,,,2,3.87532,0.13397,1192,,,,
,,,,,,,,,,,,,2,4.10684,0.00705104,1068,,,,
,,,,,,,,,,,,,2,11.6635,0.0352552,964,,,,
,,,,,,,,,,,,,2,12.6835,0.0493572,1327,,,,
,,,,,,,,,,,,,2,10.6236,0.00705104,919,,,,
,,,,,,,,,,,,,2,7.38757,0.112817,1365,,,,
,,,,,,,,,,,,,2,12.9954,0.0141021,1091,,,,
,,,,,,,,,,,,,2,12.5995,0.0493572,1042,,,,
,,,,,,,,,,,,,2,11.3737,0.0211531,1025,,,,
,,,,,,,,,,,,,2,13.1049,0.112817,1268,,,,
,,,,,,,,,,,,,2,8.98555,0.126919,1181,,,,
,,,,,,,,,,,,,2,6.07758,0.00705104,888,,,,
,,,,,,,,,,,,,2,7.90132,0.0141021,1085,,,,
,,,,,,,,,,,,,2,8.6504,0.00705104,989,,,,
,,,,,,,,,,,,,2,8.69074,0.923686,2820,,,,
,,,,,,,,,,,,,2,6.75143,0.0775614,1227,,,,
,,,,,,,,,,,,,2,4.22918,0.0705104,1184,,,,
,,,,,,,,,,,,,2,6.82217,0.691001,1747,,,,
,,,,,,,,,,,,,2,7.4787,0.00705104,995,,,,
,,,,,,,,,,,,,2,8.99473,0.387807,1377,,,,
,,,,,,,,,,,,,2,6.73832,0.246786,1551,,,,
,,,,,,,,,,,,,2,12.0897,0.00705104,1147,,,,
,,,,,,,,,,,,,2,12.7036,0.197429,2127,,,,
,,,,,,,,,,,,,2,13.7251,0.0423062,1280,,,,
,,,,,,,,,,,,,2,12.3886,0.0564083,1190,,,,
,,,,,,,,,,,,,2,11.399,0.183327,1285,,,,
,,,,,,,,,,,,,2,11.1906,0.00705104,922,,,,
,,,,,,,,,,,,,2,15.4993,0.190378,1438,,,,
,,,,,,,,,,,,,2,9.46471,0.00705104,862,,,,
,,,,,,,,,,,,,2,9.27647,0.0775614,1266,,,,
