Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,1,12.3527,0.0705104,1208,1,6.19004,0.0916635,1132
,,,,,,,,,,,,,1,11.9664,0.0211531,1043,1,4.89351,0.0423062,1087
,,,,,,,,,,,,,1,8.9974,0.0352552,1211,1,7.9925,1.48777,1635
,,,,,,,,,,,,,1,14.9786,0.126919,1245,1,6.40449,0.465368,1402
,,,,,,,,,,,,,1,16.8192,0.0141021,974,1,2.20589,0.0634593,1123
,,,,,,,,,,,,,1,11.3494,0.0846124,1287,1,2.2946,0.387807,1335
,,,,,,,,,,,,,1,10.5428,0.00705104,1012,1,1.87837,0.246786,1446
,,,,,,,,,,,,,1,11.0346,0.0775614,1229,1,8.44241,0.394858,1382
,,,,,,,,,,,,,1,9.84496,0.0705104,1277,1,6.82007,0.282041,1787
,,,,,,,,,,,,,1,16.5931,0.148072,1311,1,4.06752,0.0846124,1205
