Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,,,,,,,,,,,,,,3,4.40547,4,24.8517
,,,,,,,,,,,,,,,,3,1.86753,4,10.2763
,,,,,,,,,,,,,,,,3,5.98776,4,24.9078
,,,,,,,,,,,,,,,,3,6.88375,4,25.3933
,,,,,,,,,,,,,,,,3,7.72648,5,12.7661
,,,,,,,,,,,,,,,,4,9.53055,5,7.90124
,,,,,,,,,,,,,,,,4,8.53898,5,17.5138
,,,,,,,,,,,,,,,,4,8.32216,5,19.697
,,,,,,,,,,,,,,,,4,6.21857,6,
,,,,,,,,,,,,,,,,4,6.41712,7,9.5377
,,,,,,,,,,,,,,,,4,6.78411,8,
,,,,,,,,,,,,,,,,4,7.06687,9,16.297
,,,,,,,,,,,,,,,,4,5.62157,9,6.14516
,,,,,,,,,,,,,,,,4,7.42016,9,4.57292
,,,,,,,,,,,,,,,,5,5.08058,9,2.38337
,,,,,,,,,,,,,,,,5,4.10044,9,15.2955
,,,,,,,,,,,,,,,,5,2.87309,10,
,,,,,,,,,,,,,,,,5,2.17207,,
,,,,,,,,,,,,,,,,6,0.162545,,
,,,,,,,,,,,,,,,,7,26.9724,,
,,,,,,,,,,,,,,,,7,1.89719,,
,,,,,,,,,,,,,,,,7,6.88242,,
,,,,,,,,,,,,,,,,7,8.93902,,
,,,,,,,,,,,,,,,,7,6.44947,,
,,,,,,,,,,,,,,,,8,9.10067,,
,,,,,,,,,,,,,,,,8,6.62978,,
,,,,,,,,,,,,,,,,8,4.86957,,
,,,,,,,,,,,,,,,,8,9.32554,,
,,,,,,,,,,,,,,,,8,4.88707,,
,,,,,,,,,,,,,,,,8,9.31775,,
,,,,,,,,,,,,,,,,8,7.44321,,
,,,,,,,,,,,,,,,,8,8.74159,,
,,,,,,,,,,,,,,,,9,3.91614,,
,,,,,,,,,,,,,,,,9,5.60748,,
,,,,,,,,,,,,,,,,9,6.6625,,
,,,,,,,,,,,,,,,,9,9.5952,,
,,,,,,,,,,,,,,,,9,9.64536,,
,,,,,,,,,,,,,,,,9,11.4744,,
,,,,,,,,,,,,,,,,10,9.39383,,
,,,,,,,,,,,,,,,,10,1.05049,,
,,,,,,,,,,,,,,,,10,4.5903,,
,,,,,,,,,,,,,,,,10,0.733297,,
,,,,,,,,,,,,,,,,10,5.62048,,
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,6,6,1,0.509588,0.16191,1.60385,0.804403,0.808609,0.422439,2.51715e+07,1.57164e+08,55.582,33.8703,1,2.68451,1,5.7888,1,14.2888
,,,2,0.510724,0.14383,1.81352,0.747707,0.783611,0.442306,9.8689e+06,1.3357e+08,51.7907,36.7795,2,2.62539,1,2.83031,1,8.89499
