Filename,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_005_crop.nd2,8,1,950641,1.03787e+08,0.62942
,,2,4.15655e+06,1.16319e+08,0.61189
,,3,1.83892e+06,9.4013e+07,0.558409
,,4,1.73551e+06,8.62218e+07,0.624154
,,5,672034,7.43755e+07,0.524015
,,6,1.32468e+06,1.13809e+08,0.667191
,,7,230139,6.73961e+07,0.538081
,,8,2.67289e+06,9.90124e+07,0.615648
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_007_crop.nd2,2,1,8.79767e+06,2.32046e+08,0.608027
,,2,5.13441e+06,1.31603e+08,0.676971
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_008_crop.nd2,2,1,2.04969e+07,2.87618e+08,0.616436
,,2,1.0335e+07,2.42192e+08,0.611992
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_009_crop.nd2,4,1,616893,8.77712e+07,0.593495
,,2,787140,6.56437e+07,0.523602
,,3,1.71599e+06,6.78523e+07,0.622611
,,4,520834,6.43608e+07,0.610151
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,8,1,1.82598e+06,7.20883e+07,0.609793
,,2,714485,1.06091e+08,0.536435
,,3,5.0311e+06,1.2773e+08,0.555765
,,4,4.24314e+06,1.0976e+08,0.567495
,,5,2.13163e+06,7.53409e+07,0.554581
,,6,68172,1.09233e+08,0.640769
,,7,20090,1.13235e+08,0.631929
,,8,262512,1.19555e+08,0.648389
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_012_crop.nd2,2,1,2.55774e+06,1.71368e+08,0.536899
,,2,8.02603e+06,1.86428e+08,0.542637
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_013_crop.nd2,2,1,4.65409e+06,1.20514e+08,0.517426
,,2,35397,1.46657e+08,0.501011
ATG9-GolSeg_13Jan22_4019_000_W_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,4,1,1.4508e+06,1.25685e+08,0.567993
,,2,5.63197e+06,1.61715e+08,0.557433
,,3,3.02755e+06,1.33988e+08,0.610519
